League,On_base_percentage,Slugging_percentage,Batting_average,Opponent_on_base_percentage,Opponent_slugging_percentage,Win_percentage,decade60s,decade70s,decade80s,decade90s,decade2000s,decade2010s
1,0.328,0.418,0.259,0.317,0.415,0.5,0,0,0,0,0,1
1,0.32,0.389,0.247,0.306,0.378,0.5802469135802469,0,0,0,0,0,1
0,0.311,0.417,0.247,0.315,0.403,0.5740740740740741,0,0,0,0,0,1
0,0.315,0.415,0.26,0.331,0.428,0.42592592592592593,0,0,0,0,0,1
1,0.302,0.378,0.24,0.335,0.424,0.3765432098765432,0,0,0,0,0,1
0,0.318,0.422,0.255,0.319,0.405,0.5246913580246914,0,0,0,0,0,1
1,0.315,0.411,0.251,0.305,0.39,0.5987654320987654,0,0,0,0,0,1
0,0.324,0.381,0.251,0.336,0.43,0.41975308641975306,0,0,0,0,0,1
1,0.33,0.436,0.274,0.357,0.47,0.3950617283950617,0,0,0,0,0,1
0,0.335,0.422,0.268,0.314,0.402,0.5432098765432098,0,0,0,0,0,1
1,0.302,0.371,0.236,0.337,0.427,0.3395061728395062,0,0,0,0,0,1
0,0.317,0.4,0.265,0.339,0.423,0.4444444444444444,0,0,0,0,0,1
0,0.332,0.433,0.274,0.31,0.403,0.5493827160493827,0,0,0,0,0,1
1,0.317,0.374,0.252,0.31,0.364,0.5308641975308642,0,0,0,0,0,1
1,0.308,0.382,0.244,0.327,0.399,0.42592592592592593,0,0,0,0,0,1
1,0.325,0.437,0.259,0.326,0.414,0.5123456790123457,0,0,0,0,0,1
0,0.325,0.39,0.26,0.333,0.442,0.4074074074074074,0,0,0,0,0,1
1,0.316,0.386,0.249,0.315,0.401,0.4567901234567901,0,0,0,0,0,1
0,0.337,0.453,0.265,0.311,0.419,0.5864197530864198,0,0,0,0,0,1
0,0.31,0.404,0.238,0.306,0.378,0.5802469135802469,0,0,0,0,0,1
1,0.317,0.4,0.255,0.306,0.407,0.5,0,0,0,0,0,1
1,0.304,0.395,0.243,0.314,0.39,0.4876543209876543,0,0,0,0,0,1
1,0.319,0.38,0.247,0.319,0.398,0.4691358024691358,0,0,0,0,0,1
0,0.296,0.369,0.234,0.308,0.394,0.46296296296296297,0,0,0,0,0,1
1,0.327,0.397,0.269,0.313,0.393,0.5802469135802469,0,0,0,0,0,1
1,0.338,0.421,0.271,0.313,0.387,0.5432098765432098,0,0,0,0,0,1
0,0.317,0.394,0.24,0.294,0.352,0.5555555555555556,0,0,0,0,0,1
0,0.334,0.446,0.273,0.309,0.408,0.5740740740740741,0,0,0,0,0,1
0,0.309,0.407,0.245,0.335,0.438,0.4506172839506173,0,0,0,0,0,1
1,0.322,0.428,0.261,0.303,0.373,0.6049382716049383,0,0,0,0,0,1
1,0.322,0.413,0.25,0.316,0.409,0.5802469135802469,0,0,0,0,0,1
1,0.308,0.387,0.243,0.31,0.361,0.5493827160493827,0,0,0,0,0,1
0,0.316,0.413,0.257,0.341,0.46,0.42592592592592593,0,0,0,0,0,1
0,0.349,0.461,0.28,0.322,0.392,0.5555555555555556,0,0,0,0,0,1
1,0.314,0.401,0.256,0.335,0.413,0.4382716049382716,0,0,0,0,0,1
0,0.319,0.388,0.252,0.317,0.397,0.4876543209876543,0,0,0,0,0,1
1,0.326,0.408,0.256,0.325,0.415,0.4876543209876543,0,0,0,0,0,1
0,0.317,0.396,0.25,0.323,0.413,0.49382716049382713,0,0,0,0,0,1
1,0.329,0.41,0.258,0.331,0.431,0.4506172839506173,0,0,0,0,0,1
0,0.34,0.434,0.277,0.321,0.396,0.5864197530864198,0,0,0,0,0,1
1,0.318,0.388,0.247,0.316,0.401,0.4444444444444444,0,0,0,0,0,1
1,0.311,0.374,0.258,0.337,0.432,0.345679012345679,0,0,0,0,0,1
0,0.329,0.415,0.275,0.337,0.425,0.4382716049382716,0,0,0,0,0,1
0,0.313,0.402,0.253,0.313,0.388,0.5308641975308642,0,0,0,0,0,1
1,0.322,0.375,0.257,0.31,0.371,0.5093167701863354,0,0,0,0,0,1
1,0.325,0.425,0.261,0.304,0.385,0.5925925925925926,0,0,0,0,0,1
0,0.306,0.36,0.247,0.34,0.435,0.3888888888888889,0,0,0,0,0,1
1,0.335,0.391,0.264,0.332,0.411,0.47530864197530864,0,0,0,0,0,1
0,0.343,0.444,0.263,0.322,0.399,0.5987654320987654,0,0,0,0,0,1
0,0.311,0.369,0.244,0.317,0.378,0.4567901234567901,0,0,0,0,0,1
1,0.323,0.395,0.253,0.296,0.361,0.6296296296296297,0,0,0,0,0,1
1,0.309,0.368,0.244,0.338,0.409,0.4444444444444444,0,0,0,0,0,1
1,0.305,0.349,0.237,0.314,0.375,0.4382716049382716,0,0,0,0,0,1
0,0.292,0.348,0.233,0.31,0.386,0.41358024691358025,0,0,0,0,0,1
1,0.303,0.368,0.242,0.309,0.346,0.5308641975308642,0,0,0,0,0,1
1,0.341,0.425,0.273,0.319,0.398,0.5555555555555556,0,0,0,0,0,1
0,0.322,0.402,0.244,0.303,0.383,0.5617283950617284,0,0,0,0,0,1
0,0.34,0.46,0.283,0.307,0.392,0.5925925925925926,0,0,0,0,0,1
0,0.317,0.413,0.249,0.328,0.419,0.5,0,0,0,0,0,1
1,0.309,0.383,0.242,0.319,0.382,0.4968944099378882,0,0,0,0,0,1
1,0.325,0.416,0.25,0.34,0.448,0.4012345679012346,0,0,0,0,0,1
1,0.339,0.401,0.258,0.314,0.376,0.5617283950617284,0,0,0,0,0,1
0,0.316,0.386,0.259,0.336,0.434,0.4074074074074074,0,0,0,0,0,1
0,0.339,0.451,0.268,0.327,0.399,0.5493827160493827,0,0,0,0,0,1
1,0.32,0.401,0.257,0.334,0.398,0.46296296296296297,0,0,0,0,0,1
0,0.332,0.42,0.268,0.325,0.395,0.5432098765432098,0,0,0,0,0,1
1,0.338,0.436,0.272,0.323,0.396,0.5617283950617284,0,0,0,0,0,1
0,0.322,0.378,0.248,0.342,0.416,0.42592592592592593,0,0,0,0,0,1
1,0.336,0.425,0.263,0.326,0.397,0.5123456790123457,0,0,0,0,0,1
0,0.335,0.415,0.268,0.332,0.4,0.5,0,0,0,0,0,1
1,0.321,0.403,0.254,0.331,0.398,0.49382716049382713,0,0,0,0,0,1
1,0.303,0.362,0.247,0.33,0.402,0.4691358024691358,0,0,0,0,0,1
0,0.331,0.399,0.274,0.342,0.435,0.41358024691358025,0,0,0,0,0,1
0,0.311,0.39,0.248,0.327,0.403,0.49382716049382713,0,0,0,0,0,1
1,0.322,0.379,0.252,0.316,0.378,0.49382716049382713,0,0,0,0,0,1
1,0.335,0.424,0.262,0.338,0.427,0.47530864197530864,0,0,0,0,0,1
0,0.341,0.422,0.273,0.317,0.417,0.5802469135802469,0,0,0,0,0,1
1,0.314,0.383,0.249,0.33,0.394,0.4876543209876543,0,0,0,0,0,1
0,0.35,0.436,0.267,0.322,0.399,0.5864197530864198,0,0,0,0,0,1
0,0.324,0.378,0.256,0.313,0.379,0.5,0,0,0,0,0,1
1,0.332,0.413,0.26,0.311,0.405,0.5987654320987654,0,0,0,0,0,1
1,0.304,0.373,0.242,0.348,0.449,0.35185185185185186,0,0,0,0,0,1
1,0.317,0.371,0.246,0.308,0.368,0.5555555555555556,0,0,0,0,0,1
0,0.298,0.339,0.236,0.313,0.401,0.3765432098765432,0,0,0,0,0,1
1,0.321,0.408,0.257,0.313,0.37,0.5679012345679012,0,0,0,0,0,1
1,0.332,0.402,0.263,0.319,0.387,0.5308641975308642,0,0,0,0,0,1
0,0.333,0.403,0.247,0.308,0.404,0.5925925925925926,0,0,0,0,0,1
0,0.338,0.419,0.276,0.319,0.39,0.5555555555555556,0,0,0,0,0,1
0,0.312,0.454,0.248,0.326,0.405,0.5246913580246914,0,0,0,0,0,1
1,0.318,0.39,0.25,0.33,0.41,0.42592592592592593,0,0,0,0,0,1
1,0.324,0.418,0.253,0.33,0.419,0.43209876543209874,0,0,0,0,1,0
1,0.339,0.405,0.263,0.323,0.39,0.5308641975308642,0,0,0,0,1,0
0,0.332,0.415,0.268,0.353,0.476,0.3950617283950617,0,0,0,0,1,0
0,0.352,0.454,0.27,0.335,0.422,0.5864197530864198,0,0,0,0,1,0
1,0.332,0.407,0.255,0.324,0.391,0.515527950310559,0,0,0,0,1,0
0,0.329,0.411,0.258,0.325,0.414,0.4876543209876543,0,0,0,0,1,0
1,0.318,0.394,0.247,0.333,0.418,0.48148148148148145,0,0,0,0,1,0
0,0.339,0.417,0.264,0.351,0.443,0.4012345679012346,0,0,0,0,1,0
1,0.343,0.441,0.261,0.328,0.405,0.5679012345679012,0,0,0,0,1,0
0,0.331,0.416,0.26,0.336,0.422,0.5276073619631901,0,0,0,0,1,0
1,0.34,0.416,0.268,0.333,0.408,0.5370370370370371,0,0,0,0,1,0
1,0.319,0.4,0.26,0.344,0.44,0.4567901234567901,0,0,0,0,1,0
0,0.318,0.405,0.259,0.343,0.422,0.4012345679012346,0,0,0,0,1,0
0,0.35,0.441,0.285,0.338,0.432,0.5987654320987654,0,0,0,0,1,0
1,0.346,0.412,0.27,0.312,0.361,0.5864197530864198,0,0,0,0,1,0
1,0.341,0.426,0.263,0.345,0.45,0.49382716049382713,0,0,0,0,1,0
0,0.345,0.429,0.274,0.331,0.431,0.5337423312883436,0,0,0,0,1,0
1,0.335,0.394,0.27,0.342,0.418,0.43209876543209874,0,0,0,0,1,0
0,0.362,0.478,0.283,0.327,0.408,0.6358024691358025,0,0,0,0,1,0
0,0.328,0.397,0.262,0.329,0.413,0.46296296296296297,0,0,0,0,1,0
1,0.334,0.447,0.258,0.329,0.427,0.5740740740740741,0,0,0,0,1,0
1,0.318,0.387,0.252,0.346,0.442,0.38509316770186336,0,0,0,0,1,0
1,0.321,0.381,0.242,0.333,0.406,0.46296296296296297,0,0,0,0,1,0
0,0.314,0.402,0.258,0.316,0.394,0.5246913580246914,0,0,0,0,1,0
1,0.309,0.389,0.257,0.314,0.372,0.5432098765432098,0,0,0,0,1,0
1,0.332,0.415,0.263,0.319,0.386,0.5617283950617284,0,0,0,0,1,0
0,0.343,0.439,0.263,0.324,0.417,0.5185185185185185,0,0,0,0,1,0
0,0.32,0.445,0.26,0.331,0.416,0.5370370370370371,0,0,0,0,1,0
0,0.333,0.44,0.266,0.339,0.434,0.46296296296296297,0,0,0,0,1,0
1,0.337,0.406,0.258,0.352,0.45,0.36419753086419754,0,0,0,0,1,0
1,0.327,0.415,0.251,0.318,0.398,0.5061728395061729,0,0,0,0,1,0
1,0.345,0.408,0.27,0.336,0.423,0.4444444444444444,0,0,0,0,1,0
0,0.333,0.429,0.267,0.361,0.435,0.422360248447205,0,0,0,0,1,0
0,0.358,0.447,0.28,0.323,0.39,0.5864197530864198,0,0,0,0,1,0
1,0.354,0.443,0.278,0.316,0.395,0.6024844720496895,0,0,0,0,1,0
0,0.332,0.448,0.263,0.32,0.41,0.5460122699386503,0,0,0,0,1,0
1,0.321,0.408,0.247,0.345,0.45,0.4567901234567901,0,0,0,0,1,0
0,0.339,0.424,0.262,0.33,0.424,0.5,0,0,0,0,1,0
1,0.336,0.415,0.263,0.344,0.431,0.4567901234567901,0,0,0,0,1,0
0,0.34,0.444,0.271,0.353,0.437,0.4567901234567901,0,0,0,0,1,0
1,0.326,0.433,0.254,0.333,0.407,0.5217391304347826,0,0,0,0,1,0
1,0.323,0.415,0.263,0.328,0.44,0.5341614906832298,0,0,0,0,1,0
0,0.32,0.397,0.269,0.328,0.415,0.46296296296296297,0,0,0,0,1,0
0,0.33,0.413,0.268,0.323,0.406,0.6172839506172839,0,0,0,0,1,0
1,0.333,0.399,0.264,0.315,0.376,0.5185185185185185,0,0,0,0,1,0
1,0.325,0.431,0.253,0.323,0.406,0.5555555555555556,0,0,0,0,1,0
0,0.34,0.408,0.279,0.324,0.431,0.5398773006134969,0,0,0,0,1,0
1,0.34,0.42,0.266,0.331,0.397,0.5493827160493827,0,0,0,0,1,0
0,0.342,0.427,0.271,0.329,0.405,0.5493827160493827,0,0,0,0,1,0
0,0.318,0.369,0.242,0.328,0.392,0.4658385093167702,0,0,0,0,1,0
1,0.332,0.438,0.255,0.329,0.41,0.5679012345679012,0,0,0,0,1,0
1,0.32,0.403,0.258,0.362,0.454,0.41358024691358025,0,0,0,0,1,0
1,0.317,0.39,0.25,0.332,0.409,0.3888888888888889,0,0,0,0,1,0
0,0.318,0.389,0.265,0.351,0.433,0.3765432098765432,0,0,0,0,1,0
1,0.321,0.382,0.262,0.341,0.404,0.4444444444444444,0,0,0,0,1,0
1,0.35,0.433,0.281,0.332,0.431,0.5308641975308642,0,0,0,0,1,0
0,0.34,0.422,0.26,0.314,0.4,0.5987654320987654,0,0,0,0,1,0
0,0.354,0.462,0.283,0.362,0.455,0.4876543209876543,0,0,0,0,1,0
0,0.331,0.399,0.264,0.309,0.38,0.5308641975308642,0,0,0,0,1,0
1,0.323,0.373,0.251,0.343,0.436,0.36645962732919257,0,0,0,0,1,0
1,0.321,0.413,0.25,0.334,0.42,0.5555555555555556,0,0,0,0,1,0
1,0.339,0.435,0.275,0.327,0.415,0.5185185185185185,0,0,0,0,1,0
0,0.333,0.412,0.272,0.354,0.412,0.42592592592592593,0,0,0,0,1,0
0,0.362,0.444,0.279,0.314,0.392,0.5925925925925926,0,0,0,0,1,0
1,0.333,0.422,0.271,0.322,0.399,0.5246913580246914,0,0,0,0,1,0
0,0.318,0.404,0.246,0.338,0.435,0.4444444444444444,0,0,0,0,1,0
1,0.335,0.436,0.267,0.343,0.456,0.4444444444444444,0,0,0,0,1,0
0,0.343,0.428,0.268,0.322,0.407,0.5925925925925926,0,0,0,0,1,0
1,0.354,0.437,0.28,0.33,0.423,0.5521472392638037,0,0,0,0,1,0
0,0.345,0.458,0.287,0.338,0.427,0.5432098765432098,0,0,0,0,1,0
1,0.336,0.448,0.267,0.364,0.442,0.4382716049382716,0,0,0,0,1,0
1,0.33,0.412,0.26,0.337,0.454,0.4506172839506173,0,0,0,0,1,0
0,0.322,0.388,0.261,0.339,0.445,0.42592592592592593,0,0,0,0,1,0
0,0.345,0.417,0.284,0.328,0.412,0.5802469135802469,0,0,0,0,1,0
1,0.337,0.406,0.275,0.326,0.399,0.5061728395061729,0,0,0,0,1,0
1,0.329,0.456,0.262,0.333,0.422,0.5123456790123457,0,0,0,0,1,0
0,0.33,0.391,0.264,0.324,0.431,0.4876543209876543,0,0,0,0,1,0
1,0.342,0.432,0.275,0.329,0.409,0.5432098765432098,0,0,0,0,1,0
0,0.366,0.463,0.29,0.34,0.417,0.5802469135802469,0,0,0,0,1,0
0,0.338,0.407,0.256,0.329,0.404,0.4691358024691358,0,0,0,0,1,0
1,0.354,0.458,0.274,0.346,0.451,0.5493827160493827,0,0,0,0,1,0
1,0.325,0.411,0.263,0.352,0.447,0.41975308641975306,0,0,0,0,1,0
1,0.322,0.411,0.251,0.311,0.374,0.5460122699386503,0,0,0,0,1,0
0,0.337,0.425,0.287,0.349,0.431,0.5432098765432098,0,0,0,0,1,0
1,0.322,0.387,0.254,0.334,0.405,0.4382716049382716,0,0,0,0,1,0
1,0.337,0.405,0.274,0.336,0.431,0.48148148148148145,0,0,0,0,1,0
0,0.336,0.433,0.268,0.358,0.467,0.4074074074074074,0,0,0,0,1,0
0,0.328,0.426,0.263,0.356,0.423,0.46296296296296297,0,0,0,0,1,0
0,0.327,0.419,0.259,0.315,0.391,0.5123456790123457,0,0,0,0,1,0
1,0.325,0.39,0.256,0.339,0.433,0.4506172839506173,0,0,0,0,1,0
1,0.331,0.424,0.267,0.335,0.431,0.4691358024691358,0,0,0,0,1,0
1,0.337,0.455,0.27,0.343,0.438,0.4876543209876543,0,0,0,0,1,0
0,0.339,0.424,0.277,0.357,0.462,0.43209876543209874,0,0,0,0,1,0
0,0.351,0.435,0.269,0.343,0.447,0.5308641975308642,0,0,0,0,1,0
1,0.319,0.422,0.268,0.342,0.431,0.4074074074074074,0,0,0,0,1,0
0,0.342,0.464,0.28,0.326,0.44,0.5555555555555556,0,0,0,0,1,0
1,0.336,0.432,0.257,0.337,0.457,0.49382716049382713,0,0,0,0,1,0
0,0.349,0.457,0.28,0.335,0.431,0.48148148148148145,0,0,0,0,1,0
1,0.341,0.433,0.27,0.346,0.438,0.4691358024691358,0,0,0,0,1,0
0,0.329,0.449,0.274,0.321,0.405,0.5864197530864198,0,0,0,0,1,0
1,0.331,0.435,0.264,0.347,0.423,0.48148148148148145,0,0,0,0,1,0
1,0.332,0.409,0.255,0.319,0.421,0.5061728395061729,0,0,0,0,1,0
0,0.332,0.411,0.271,0.367,0.476,0.38271604938271603,0,0,0,0,1,0
0,0.334,0.425,0.274,0.316,0.402,0.5493827160493827,0,0,0,0,1,0
1,0.348,0.432,0.276,0.33,0.418,0.5432098765432098,0,0,0,0,1,0
1,0.327,0.42,0.258,0.333,0.438,0.46296296296296297,0,0,0,0,1,0
0,0.347,0.425,0.287,0.312,0.423,0.5925925925925926,0,0,0,0,1,0
1,0.334,0.445,0.264,0.323,0.407,0.5987654320987654,0,0,0,0,1,0
0,0.363,0.461,0.285,0.326,0.413,0.5987654320987654,0,0,0,0,1,0
0,0.34,0.412,0.26,0.338,0.422,0.5740740740740741,0,0,0,0,1,0
1,0.347,0.447,0.267,0.339,0.46,0.5246913580246914,0,0,0,0,1,0
1,0.327,0.397,0.263,0.357,0.431,0.41358024691358025,0,0,0,0,1,0
1,0.332,0.416,0.263,0.312,0.404,0.5432098765432098,0,0,0,0,1,0
0,0.325,0.424,0.272,0.337,0.432,0.48148148148148145,0,0,0,0,1,0
1,0.324,0.422,0.259,0.337,0.415,0.4720496894409938,0,0,0,0,1,0
1,0.337,0.431,0.269,0.337,0.443,0.515527950310559,0,0,0,0,1,0
0,0.314,0.42,0.255,0.358,0.452,0.3765432098765432,0,0,0,0,1,0
0,0.338,0.446,0.278,0.341,0.424,0.49382716049382713,0,0,0,0,1,0
